,text,user,location,Sentiment_Polarity,Expression Label
101,@BrianKarem @realDonaldTrump Keep up the good work.,HappyKaiju,United States,0.7,positive
104,@YaTrixed @realDonaldTrump @PeteHegseth @seanhannity Yes he probably did lose all that because Dems are great cheaters. They’ve practiced for years! Biden’s a crook. Now what on earth has the President done to our country that he loves? What kind of America do you think we’re living on n?,SandraPlanchard,,0.8,positive
107,"@realDonaldTrump win this elections, Mr president. https://t.co/zUwQR7WfPA",MartenExeqiel,,0.8,positive
109,@JustVent6 @DavidJHarrisJr @realDonaldTrump Lol with fake as bs,jmp0956,nonya,0.15,positive
110,"@Maalla00396018 @michellemalkin @realDonaldTrump Well yes they have.

Progressive governments who care about public safety have.
Along with heavy taxation, together with programmes to help with quitting.

They were the same governments that were the first to mandate seat belts in cars too. https://t.co/YQ4HVbhlCc",Bluecent65,"South Lake Tahoe, CA",0.0125,positive
111,@realDonaldTrump @PeteHegseth @seanhannity 5 MILLION MORE VOTES BIDEN,deedeedoo23,United States,0.5,positive
115,"@BrianFo74468780 @SherylAnnMurphy @realDonaldTrump @BrianKempGA No need being on the defensive. 

Trump stole from kids with cancer. He took a deal which is admitting guilt and was forced to pay that money back. That's fraud. Same with his university. 

Trump has evaded taxes. He himself said it make him smart. That's tax fraud. Shall I go on",loveofrocks1,"New York, NY",-0.021428571,negative
118,You lost. That’s what losers do. You are a loser. You’re fired. Probably going to jail. In New York or Scotland. https://t.co/j5Dnrf7h3x,jgaylordjr,,-0.054545455,negative
119,"Wow, @realDonaldTrump what a FINE example of the folks who believe in you 😅😅😅😅😅🤣🤣🤣🤣🤣 Now I get it, they simply DON'T know better. https://t.co/9llFrT8vsA",1963Carebear,"Indiana, USA",0.254166667,positive
121,RT @RepSwalwell: Amazing! Congratulations!,KLBuckie,,0.9375,positive
122,"@realDonaldTrump Melania must divorce Trump president. 
Because she wanted that Trump president should yield against Joe Biden.
She must be on the Democrats side.
I hate Melania.",PyunYoungSeo3,,-0.8,negative
123,@realDonaldTrump @SenJohnKennedy @MariaBartiromo @TheJusticeDept They should be in jail by now. Where is the DOJ?,rogelio29521100,,-0.1,negative
125,"RT @RepThomasMassie: There was never a bad time, but now would be an excellent time for @realDonaldTrump to pardon @Snowden, pardon  #Julia…",MNubah,,0.675,positive
126,"RT @NHJennifer: Move along, little man. Move along.",Crazygirlcandie,"Texas, USA",-0.1875,negative
127,"RT @libertylibbyusa: @Vidian6 @westerlaken2 @GO_VIRAL1 @ArtmanJanet @realDonaldTrump Jail 🤣 it’s funny when people scream for proof, you ge…",Vidian6,naperville illinois,0.075,positive
130,"@GeraldoRivera @realDonaldTrump Thanks for nothing, trump! https://t.co/0rw3i7V6nk",Brenleighd,United States,0.25,positive
131,@SidneyPowell1 @realDonaldTrump @RudyGiuliani @BernardKerik @replouiegohmert Holy crap! https://t.co/J6CgnyIXhI,KitchenTactics,"Texas, USA",-1,negative
133,"RT @davidmweissman: @realDonaldTrump People are dying under your watch, please shut the fuck up and concede. #ConcedeNowTrump 
https://t.co…",EllyannTaylor,"Ontario, Canada",-0.4,negative
136,"@realDonaldTrump @PeteHegseth @seanhannity Stochastic terrorist inciting violence. Violation of Twitter rules and common decency.

Report Tweet &gt; It’s abusive or harmful &gt; Threatening violence or physical harm &gt; No &gt; Someone else &gt; Add 1",jjm_3,30307,-0.15,negative
137,@realDonaldTrump Oh Donnie.  It's just getting sad now,PillowRock95,,-0.5,negative
139,RT @CaslerNoel: Trump said today: “I will not be going to a lockdown” who wants to explain to him how prison works? @realDonaldTrump,KarenMHJ,Chicagoland,0.2,positive
142,"@SenatorDurbin @SenWarren I spent ten minutes yelling at my grand mother for voting for @JoeBiden . Then I left the cemetery and got some dinner. 

#Elections2020 ￼    
@realDonaldTrump",abodajana01,أبوظبي,0.1,positive
144,"RT @jaketapper: FINAL STATES PROJECTED:

President-elect @JoeBiden will win Georgia

Outgoing President @realDonaldTrump will win North Car…",brucethecat,,0.533333333,positive
145,"RT @ArchbpVigano: .@realDonaldTrump We have seen the deep state organize itself, well in advance, to carry out the most colossal electoral…",Makaira55,,0.266666667,positive
146,"RT @mmpadellan: @realDonaldTrump You don't get to level bullshit accusations, without evidence, and then claim victory, you desperate loser…",jengrimes8,,-0.6,negative
147,@realDonaldTrump Wow an honest judge there's hope for us yet in Pa.,johnmcL61960391,,0.35,positive
148,@realDonaldTrump @PeteHegseth @seanhannity Anyone who consistently bet against Daddy Donny over his career will actually be richer than he is.,manzsle,,0.125,positive
152,"@Circlebruh @FrankAmari2 @realDonaldTrump @SenateGOP @HouseGOP Cite your sources for stating ""most Americans""...",infogorp,"Delanson, NY",0.5,positive
155,@CindyBlaier @IvankaTrump @realDonaldTrump Neither are the solution if I’m being honest but I’d rather watch #Trump in a reality tv show than as President,BatScientist,Trifecta 🇿🇼🇿🇦🇺🇸,0.6,positive
156,"@Notthenineoclo2 @brav_wav @koolkustmer @deanna_dd73 @HKrassenstein @realDonaldTrump And, not one thing has been proven from a planted laptop. Nice try, Rudy, but you lost.",cqmike,"San Jose, California",0.6,positive
160,@DanScavino @realDonaldTrump We have to win!!!! Please fight for us please,BrendaT80924020,,1,positive
161,"I’ve known @GaSecofState Raffensperger since his freshman term in the State House. Anyone who knows him knows that he’s very conservative while also being a man of integrity. Time to stop whining &amp; pack up, Mr. President! #gapol https://t.co/vFV2SNoyXT",JoashPThomas,"Atlanta, GA / US Southeast",0.25,positive
164,@slim_reaper2k @realDonaldTrump except for about 77 million of us. but pretty close.,john__richard__,,0.25,positive
167,"@realDonaldTrump For the love of God, can you get to work and shut up?!?!? People are dying. Get ahold of yourself. Do you have one shred of decency or sanity left in you. PLEASE",jlisitski,Philadelphia,0.390625,positive
168,"RT @kenolin1: I understand why @realDonaldTrump’s feelings are hurt.
@JoeBiden CRUSHED HIM!
306 + 78 million = LANDSLIDE",Bandislife2004,,-0.125,negative
169,If the Democrats get away with stealing this election I certainly hope @realDonaldTrump runs again in 2024 we will need someone to clean up Biden and Harris mess! https://t.co/tmVLz2sqCX,denafreeman22,"Phoenix, AZ",0.120734127,positive
174,"RT @RepThomasMassie: There was never a bad time, but now would be an excellent time for @realDonaldTrump to pardon @Snowden, pardon  #Julia…",triley093,MA,0.675,positive
178,"RT @TalbertSwan: @realDonaldTrump 1893 died of COVID yesterday, you demented, inhumane, racist, son of a Klansman.

You lost the election,…",ReRe0183,"Theodore, AL",-0.9,negative
181,"@IlhanMN He would know about Losing bets. The Impeached felonious freeloading bankrupt squatter @realDonaldTrump ran casino after casino into the ground, Lost all the money his daddy gave him, Failed every test he couldn’t have his sister take for him. I’d bet on him, too: To Lose.",KamiKal4,,-0.5,negative
182,@realDonaldTrump Close to 11million infected over 240k dead.  You’re still spinning like the malignant grifting narcissist you are.  Right on brand...,DJackino,,0.042857143,positive
183,"@realDonaldTrump This Los Vegas Review Journal is the only place I can find covering the story. Let me know if CNN takes a look and runs with it.  Till then, it's in the Fake News pile.",AmberHoyt78,"Tucson, AZ",-0.25,negative
184,"@realDonaldTrump STOP THE MADNESS AND JUST GO.  You are deliberately trying to cause war among our people with these LIES. You lost but you had the second highest vote count in history. Can’t you be satisfied with that? You are not a PATRIOT, you just crave attention like a child. Concede.",starrvox,"PA, NJ, NYC",0.25,positive
185,"RT @ArchbpVigano: .@realDonaldTrump You have the honor and privilege of being able to participate in the victory of this spiritual battle,…",TheVoter8,,0.25,positive
187,"@DanScavino @realDonaldTrump WTF is this juvenile bullshit?
Badass . Grow up Donald-
Or go to the hospital",piano_kat,"New York, NY",-0.375,negative
189,@DanScavino @realDonaldTrump Man you lost. You lost against Joe Biden.  They said that you cannot hear his name.  Lame,mercy84uk,,-0.5,negative
191,@DanScavino @realDonaldTrump Trump...you are done. Biden beat you by the exact same electoral count that you beat Hillary.,unsung_son,my mind,0.125,positive
192,"RT @studentsfordemo: @PalmerReport @realDonaldTrump Tiny mushroom, little high.",Michael19412247,"Manhattan, NY",-0.009166667,negative
195,RT @atrupar: Trump has resorted to making evidence-free assertions about Georgia Republicans (members of his own party) conspiring to defea…,LadyUltrasuede,"Bronx, NY",0.6,positive
196,"@realDonaldTrump WOW!
Trump's hand-picked Federal Election Security Executive confirms that this was the most secure election in US History. 
Benjamin Hovland will probably be fired on Monday, if not over the weekend. 
I think he deserves a The Profile in Courage Award. 

https://t.co/pGP3ERxfNU",rickysteele,"Atlanta, Georgia",0.341666667,positive
199,RT @GOP: “Our investment will make it possible for the vaccine to be provided by Pfizer free of charge.”—@realDonaldTrump,seba1cantero,,0.2,positive
200,"RT @JennaEllisEsq: It’s a good day to defend election integrity, the U.S. Constitution, and our great President @realDonaldTrump!!

Tune in…",70surfergurl,United States,0.85,positive
202,"RT @TheRealHoarse: @realDonaldTrump I love that Twitter has moved on to just tagging you with “Nah, you lost.” https://t.co/F0Sj0TcX1P",Karidunn17,,0.5,positive
203,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",jim_in_ps,"Palm Springs, CA",-0.1,negative
204,RT @murray_nyc: @realDonaldTrump @BrianKempGA This is insane. Does Trump want his “people” to review the signatures of every single person…,PhillyG83812343,,-0.535714286,negative
207,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers an update on Operation Warp Speed https://t.co/6UQ0SZMsCQ,BigPictureSHub,,0.136363636,positive
210,@realDonaldTrump Hopefully that little bit of fun math will make you smile knowing how dumb some people truly are. Because you out of office after 4 years maens you can run again for another 4 years &amp; then potentially can run again for another 4 years.12yrs.,miss_jeannine,"Florida, USA",0.0075,positive
211,RT @RMFifthCircuit: At some point it’s just pathetic.,mimislittlelamb,,-1,negative
212,@realDonaldTrump Twitter please shut @realDonaldTrump down!,MaleaTurner1,"Atlanta, GA",-0.194444444,negative
215,@TheVeiledBlonde @nikallenn @nVeSportsKuro @see081480 @realDonaldTrump There was multiple people who corrected you nicely but keep being ignorant ig 😗,iingguk,,0.3,positive
217,RT @Mike_Pence: It was President @realDonaldTrump’s vision that we could harness the ingenuity and creativity of America’s greatest pharmac…,ChiXie1976,,1,positive
218,@DanScavino @realDonaldTrump We love you more than you will ever know @realDonaldTrump keep fighting ❤️🇺🇸,Chanson42852264,"Glen Allen, VA",0.5,positive
222,"@DanScavino @realDonaldTrump We should spend time thinking of those who suffer from a lost and get together to try to fix things while waiting for President Biden to arrive.
Listen to science and do as they say.
GIVE LOVE TO EACH OTHER INSTEAD OF GIVING TRUMP ANY IMPORTANCE! https://t.co/U39o4lUoM2",Danoux0,Home sweet home!,0.171875,positive
223,@realDonaldTrump Yo I think if you’re paying people to advise you it’s time to touch base and revisit North Star goals.,damiennunes,New York City,-0.8,negative
224,"What're you, a fucking idiot? https://t.co/tEW1QNbPa7",PossibleFlexib1,Lake Ontario ,-0.8,negative
225,@DanScavino @realDonaldTrump 5+ million more votes for Biden. And he didn’t have to beg for them.,flush_trump,"Pittsburgh, PA",0.5,positive
226,@aumjrpayne @HKrassenstein @realDonaldTrump @BrianKempGA Sounds like you are describing the average trump supporter,greenberg_david,,-0.15,negative
227,"RT @CaslerNoel: What an embarrassing lump of drug-addicted mendacity, this fool is sniffing like a fiend, Trump is the apex of losers. @rea…",bigbear5822,,-0.2,negative
229,@realDonaldTrump why did ur hair randomly go white lol what.,dingggaa,,0.4,positive
230,"RT @dow_lopez: 🚨CA39 District FLIPPED! 🔵🔛🔴
@YoungKimCA wins! Another House seat has flipped for the @GOP @realDonaldTrump https://t.co/9ndQ…",roman222255,"Baldwin Park, CA",0.375,positive
231,@realDonaldTrump Lying Ted. Still holding the Bible high and just lying!!,Salt157707659,,0.25,positive
232,@realDonaldTrump @PeteHegseth @seanhannity I exercised my constitution right to mail in my legal ballot 🖕... You lost,Worried_gma4,Small-town Mid Missouri,0.242857143,positive
236,Now republicans are against you too... amazing!! https://t.co/lICC7xFI59,EdwardLynchjr1,"North Andover, MA",0.9375,positive
240,we love to see it 🥰 FUCK @realDonaldTrump https://t.co/LeILh19Pnf,nnnemrac,jjt. 💛 lms. 💜,0.05,positive
241,"@robbystarbuck @realDonaldTrump @KathyBoockvar Recounts are for when there is a sizable amount of evidence of voter fraud, or less than .5% difference in the vote. Pennsylvania checks exactly zero of those boxes. So fuck you, and goodbye.",dangitbabby,,-0.105555556,negative
242,Yo dumbass this article is like 25 years old. https://t.co/AdldoYSKsQ,NobodyMan,Inside your garage.,0.1,positive
244,"@realDonaldTrump So, just curious, if you think there really was election fraud...and there’s no proof... that would mean that it happened in the country that you supposedly run under your watchA country where you are in charge of security?  Where the buck stops with you?",HelbligSally,,-0.070833333,negative
245,@DanScavino @realDonaldTrump The greatest! We love you President Trump!,BidensD,,0.8125,positive
246,RT @DavidCornDC: Today would be a good day for @realDonaldTrump to tell people to wear masks and socially distance.,MollyRaine4,"Palestine, TX",0.366666667,positive
248,"RT @ScottPresler: @realDonaldTrump Keep fighting until every legal vote is counted &amp; audited. 

See you this Saturday at the Freedom Plaza…",WendyCook52,Georgia,0.2,positive
249,"@DanScavino @realDonaldTrump 71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!",skinnypoo72,United States,0.875,positive
252,@caroline5162 @2A3E9F7D @realDonaldTrump One of them say thou shalt not steal and another one says thou shalt not bear false witness against thy neighbor ain't that what y'all doing to trump I thank so oh and thou shalt not cover ain't that all what the Dems do,mangamer411,,-0.4,negative
253,RT @tedlieu: Dear @realDonaldTrump: Hate crimes surged against Asian Americans this year. You added fuel to the fire by making racist state…,DeitzlerKim,,-0.4,negative
254,"@realDonaldTrump Dude, seriously. You’re just embarrassing yourself at this point. 

P.S. Pennsylvania is a commonwealth. FFS.",sloinoh,NE Ohio,-0.333333333,negative
257,"@MichaelRapaport @realDonaldTrump I love this, but please do long form!  I need it for the weekend!",ariestav,"Austin, Texas",0.2109375,positive
258,"@tedcruz @tedcruz @realDonaldTrump &amp; @GOP think Black people are “stealing” any time they talk, work, go jogging, or VOTE.",InnaEffress,Los Angeles,-0.166666667,negative
259,@realDonaldTrump WTF ARE YOU TALKING ABOUT????? Just let this ridiculous lie die already. Haven’t you done enough harm to Americans?,schindlerk15,"NY,NY",-0.277777778,negative
260,"RT @danielsgoldman: Even if successful — which none have been — @realDonaldTrump’s lawsuits cannot reverse the election results. 

In other…",thestevenilg,Seattle,0.75,positive
261,"@realDonaldTrump That's all you want is Philly, c'mon, pick a few more states while your at it",lynn_gillman,"Holtsville, NY",0.15,positive
262,"RT @17_knowingly: 5/
Drop 2543… Your favorite troller in chief misspells scot-free as “Scott Free”
https://t.co/79gl9Wr4oT https://t.co/lMB…",Courtne08241586,,0.45,positive
263,@Magan62173238 @realtrumpweathr @realDonaldTrump Okay bot.,mehmaybenot,,0.5,positive
266,@GearoidODU @eugenegu @patrickmajor56 @realDonaldTrump @PeteHegseth @seanhannity Kind like your wife?,Fman33,,0.6,positive
268,"@realDonaldTrump @BrianKempGA Clearly. Please keep tweeting how because you made a tweet, law has been made 😂",StankOnnit,,0.1,positive
271,"@John_Albertsen @thelockies @CFCNaafae @steel8883 @realDonaldTrump That’s a fair point, I’m sure there’s some creature in Antarctica that doesn’t want him there. Not something I’m well versed in, to be honest.",CoriGorneault,,0.6,positive
272,RT @chrisknowlestv: The small but mighty @gregkellyusa team celebrating our first night of one million viewers. Thank you! @newsmax #Newsma…,SheilaGibson12,,0.154166667,positive
273,@w_terrence @realDonaldTrump Get ready for your summer job TK... https://t.co/ghyY1pUFhS,CallIngYOUout71,Your mom's closet 👁‍,0.2,positive
274,RT @tedlieu: Dear @realDonaldTrump: Your lawyers didn’t even make your ridiculous argument. And the ones they did try were all rejected by…,D8N_Barb,"Dayton, Ohio",-0.333333333,negative
275,@NMotion6 @WomenforTrump @realDonaldTrump @LouieGohmertTX1 Would be great to be there!,tuma_jill,,1,positive
279,"@realDonaldTrump @PeteHegseth @seanhannity Casinos, schools, water, beef - hmmmm you can bet against him and most likely win.",auntiememay,,0.433333333,positive
280,"@Cominagetcha @AngelaG03421476 @LpBishop00 @ChelseaClinton @realDonaldTrump Norway is a fairly homogeneous country with 5.5 million in population, and you guys sure don’t take immigrants! How do you exactly can compare it with the US?",TheFlyingBulle1,,0.525,positive
281,Do what you do best @realDonaldTrump and don’t think about it and just do it! https://t.co/QmuMLLGTGB,geektardGrizzle,"41.508141,-90.540145",1,positive
282,"Dear fucking god, @realDonaldTrump is BEYOND delusional. Concede. Nobody likes you. You are just putting us all in more danger.",CierraMyst666,"Baltimore, MD",-0.05,negative
284,"RT @markaf1984: @Redistrict Hey @jack, easily provable lies are not in the ""public interest"".  Please totally remove these posts from @real…",bipolargeminino,,0.144444444,positive
288,@realDonaldTrump @PeteHegseth @seanhannity 78 million people bet against you and you lost. Sucks to be you. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,KipDay1967,Spencer IN,-0.3,negative
293,@DanScavino @realDonaldTrump #ByeByeTrump Recalls other great fascist rallies held in the 1930s. A little man with a funny mustache and very many conspiracy theories comes to mind.,arnold_corns,,0.2775,positive
295,RT @wi_yellow: @realDonaldTrump 's latest tweets are all his greatest hits without the facts,vickiemjb,"Tucson, AZ",0.75,positive
297,@realDonaldTrump You are not the first person to be robbed. ..here in Africa it happens almost every time we vote ...in UG even the cows vote,KavumaSimon,"Kampala, Uganda",0.25,positive
298,@DanScavino @realDonaldTrump I see diseased people https://t.co/6k6wTbTfqi,LakeLouise1988,United States,-0.6,negative
301,"@answered7 @ConservBlue2020 @realDonaldTrump First this Texan is hearing of it. We tried that once, it didn’t go well. I think we lost the right when the south lost the war.",tailen413,"Lubbock, TX",0.267857143,positive
