,text,user,location,Sentiment_Polarity,Expression Label
31,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,caramiaaaaaaa,Somewhere in a dress ,0.25,positive
32,RT @NickBryantNY: Every state has now been called - a clear-cut Electoral College win for President-elect Joe Biden. 306-232. Biden got he…,Clavikul,Melbourne,0.8,positive
34,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",NoraFarr,"Sarasota, FL",0.254166667,positive
36,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,Bexmich,,-0.15,negative
37,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,jennifersegel1,,0.05,positive
39,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,haleydonahuee,"Ballston Lake, NY",0.25,positive
41,"RT @RealProfTwatter: I look at Joe Biden, and it's just impossible that 73 million people voted for a geriatric robot, that says random stu…",elliedionne,United Kingdom,-0.583333333,negative
42,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",hulibob,,0.2,positive
43,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,justsmile89,,0.25,positive
44,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,CAR_fullof_MEN,California,0.25,positive
46,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,carlinabeena,,0.25,positive
47,"RT @politicususa: By Trump’s own definition, Joe Biden has beaten him in a landslide electoral college victory as Trump finishes with 232 e…",bettyonline011,,0.6,positive
48,RT @ABC7Chicago: Georgia's latest vote totals in the 2020 presidential election between President Donald Trump and former Vice President Jo…,DJsantana_coco,USA,0.25,positive
49,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,ejkjr,,-0.015151515,negative
50,RT @SameeraKhan: Lovely Joe Biden op-Ed https://t.co/2cMeu3wH95,bassinfusion,Shanghai,0.5,positive
51,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,NomiMKE,NYC,0.05,positive
53,"Joe Biden has won the presidency more times than anyone else has ever won the presidency, and with more votes than anyone ever, all in one election. #Election2020results #Election2020",matt6miller,,0.5,positive
54,"RT @ChadLivengood: Joe Biden won just Kent County by nearly twice as many votes as Donald Trump won all of Michigan in 2016.

What are we s…",CovfefeTwaffle,,0.3,positive
55,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,chloe_rae_ward,"Chicago, IL",0.25,positive
56,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,dzigginator,,0.25,positive
59,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,giovannaidalis,"San Marcos, TX",0.25,positive
61,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,IamTHREEE,North Jersey/NYC,0.25,positive
63,"@TheDailyShow The fakest News meet the fakest political game!  Check out the Joe Biden game!

https://t.co/8GvwUOSiOd
https://t.co/7fCl1HUDyx",MccayGames,,-0.333333333,negative
64,RT @MichaelHugg2591: Highlights From the Transition: Biden Wins Georgia and Trump Wins North Carolina as Final States Are Called - The New…,breakingnewsbo1,,0.2,positive
68,"RT @nytimes: Breaking News: President-elect Joe Biden won Georgia, a major victory for Democrats, and President Trump took North Carolina.…",knick_jj,Thailand,0.0625,positive
69,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,alisonjaycie,"Sacramento, CA",0.25,positive
70,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,charpow101,,0.25,positive
71,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,advoteen2264,"Connecticut, USA",-0.015151515,negative
73,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ysabelrmorales,"Portland, OR",0.25,positive
74,"RT @CNNPolitics: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North…",buchisgeorge,"Abuja, Nigeria",0.2,positive
75,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ashgabrielaa,,0.25,positive
76,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",HiJCP,San Francisco,0.4,positive
77,"RT @Smoove_1090: Joe Biden: nothing will fundamentally change 

Me: shocked 😮 

Leftist: vote Biden and we will move him left 

Me when lef…",dahomiek2,"Inglewood, CA",-0.25,negative
78,RT @LifeNewsHQ: Americans will be forced to send hundreds of millions of tax dollars to pro-abortion groups if Joe Biden is elected preside…,dethayuste,Where America's Day Begins,-0.3,negative
80,RT @nypost: Joe Biden transition official wrote op-ed advocating free speech restrictions https://t.co/LKNJQf6Ui0 https://t.co/AOQXGmGQ2F,Dmitri_Gusev,"Greenwood, IN",0.4,positive
81,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kelsocrust,$kelskelsey,0.25,positive
82,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,jzr_jill,Moving to Spain,0.566666667,positive
84,"@DonaldJTrumpJr @FranDeMario2 At least he admits it. Joe Biden did too. 

The criminality of the cover up belongs to the media.",jeff75fox,,-0.3,negative
86,"RT @resistbot: Sen. Lankford: “Once you get past the convention time, both candidates receive [briefings] because you don’t know who is goi…",TheBlakeBeckham,"Tucson, AZ",-0.25,negative
87,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",CoCoShiningReed,"Missouri, USA",0.4,positive
88,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",dzigginator,,0.2,positive
89,"@realDonaldTrump President-Elect Joe Biden wins in a landslide, both in the electoral college.  Massive landslide in the popular vote also!!  Who was the loser again??",silvaseeker,,0.4125,positive
90,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,HighDyslexa,Risky Reels,0.25,positive
92,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,jbrtan,"Michigan, USA",0.1,positive
93,"RT @SLessard: Joe Biden is already working on rebuilding America’s now tarnished character and cold heart. 💙
@JoeBiden @KamalaHarris",GinaDiGiallona2,"Fort Collins, CO",-0.6,negative
94,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,HausOfSpears,Snapchat : hausofspears,0.25,positive
95,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Seahag4life,2020 :( it sucks,0.25,positive
97,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JuliusCurving,"Queeenz,NY",0.25,positive
98,"RT @AC360: ""I do share that confidence,"" says Atlanta Mayor @KeishaBottoms on Joe Biden being projected to win Georgia.

""With such a wide…",jm10splayr,,0.4,positive
99,"Butt-dialer in chief in charge of total lawsuit landscaping. 

Highlights From President-Elect Biden's Transition: November 13, 2020 - The New York Times https://t.co/A2Iwy6ZlK5",pixelexiq1,"Portland, OR",0.068181818,positive
103,"my favorite part is they show a FOX NEWS clip where one panelist on FOX NEWS says ""well maybe joe biden is senile"" and the other FOX NEWS panelists are appalled at the suggestion because it was out of line.

and then ana and cenk side with the asshole. lmao.",badvibesnochill,"Memphis, TN",0.04375,positive
104,"RT @IfNotNowOrg: ""We are at a moment when we can and should expect elected officials to go beyond empty humanitarian rhetoric and push for…",rk70534,Finland,-0.1,negative
106,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",BusinessTimeWeb,"Brooklyn, NY",0.5625,positive
107,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,1perplepassion8,,-0.15,negative
108,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JabajoJoan,North Carolina,0.25,positive
111,"RT @nytimes: “Black women did that,” said Abby Phillip, a CNN correspondent, on Nov. 6, the day before victory would be declared for Joe Bi…",mika22338,Florida,-0.166666667,negative
112,"RT @WSJ: After clinching Pennsylvania, Joe Biden wins the 2020 Presidential Election.

However, President Trump hasn’t conceded the race.",MaestraMartinez,"Hampton, Georgia",0.3,positive
114,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,2step2sleep,Pluto,0.25,positive
116,RT @Moguldom: Obama Says In New Book He Used VP Joe Biden For GOP Negotiations Because Of Racism https://t.co/IgXMdLAIfT,Phyllis17570617,,0.136363636,positive
117,"RT @mmpadellan: HUGE NEWS: CNN projected Joe Biden wins Georgia!!!

trump defeated in a LANDSLIDE!!!!!",Robxy3ortiz,US🇱🇷🇱🇷,0.7,positive
119,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,QWERTYZXCVBN00,,0.25,positive
120,"So, do these Leftist 'Robbing Hoods' plan to reimburse all of the other people who paid off THEIR loans?!
...

Elizabeth Warren To Joe Biden: Cancel Student Loans https://t.co/AkgpVlvZMZ",baileyjer,"South Carolina, USA",-0.103125,negative
121,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",ClintonLKindle,"Portland, OR",0.5,positive
122,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sammihiggins_,"Boston, MA",0.25,positive
123,RT @lovestory16: @JoeBiden Haha I can’t wait to see all the Joe Biden supporters cry when they find out trump really won. This election is…,Walingwaling88,,0.2,positive
124,"@Eiggam5955 This is the first Friday 13 since Joe Biden and Kamala Harris kicked Trumplers ass...
Best Friday 13th ever!",86_45_,,0.416666667,positive
125,"@MilkthetoShake really? with Mr Magoo in charge? and talking of a 2024 bid? which is it, is he running for re-election or is he waiting? and if he's waiting, what other reason is he continuing this but to further fleece his support?

https://t.co/BXUxbacRmG",narcokleptic,"Dallas, TX",0.025,positive
126,"LOL!

""No! I want to vote for a different Joe Biden!"" https://t.co/eVUNeptCEJ",bdquinn,,0.5,positive
128,"RT @jomalleydillon: 306. Joe Biden, Kamala Harris, the best team in politics, and nearly 80 million Americans did this.",nsw43,DC/Northern Virginia,0.55,positive
130,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,artful_kim,"Los Angeles, CA",0.25,positive
132,"RT @CNN: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North Carolina…",VGnodle,"Rio Rancho, NM",0.2,positive
133,"RT @politicususa: By Trump’s own definition, Joe Biden has beaten him in a landslide electoral college victory as Trump finishes with 232 e…",EVANAAML,"New York, United States",0.6,positive
134,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,TayStrider,,0.25,positive
135,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,JoyTrocola,United States,0.05,positive
137,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,saintkait_,memphis,0.25,positive
139,"RT @AdamInHTownTX: @jimsciutto In other words, DOD lied to the President in order to control the foreign policy of this nation.

That's rea…",ChamberlainDr,Australia,-0.125,negative
144,"RT @MSNBC: Dr. Celine Gounder, a member of President-elect Joe Biden's coronavirus task force: ""You're certainly going to see the CDC talen…",Trisha00486675,,0.214285714,positive
147,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,HaoMao_Canada,Canada,0.8,positive
148,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,Darlind99398498,,0.05,positive
149,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",generationYnot,,0.068181818,positive
150,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,surrealliss,,0.25,positive
151,"RT @ChidiNwatu: @realDonaldTrump The Constitution requires 270 electoral votes. Based on our great Constitution, Joe Biden won the Election…",rbmumsie,"Colorado,  USA ",0.8,positive
152,RT @AliVelshi: BREAKING: Joe Biden is the apparent winner in Georgia,tammy_dreyer,,0.05,positive
153,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,badgalrisss,,0.25,positive
154,"RT @lexi4prez: Since it seems that many people can only make vague references to Joe Biden’s “mistakes,” and seem to lack a full understand…",jawncheadle,he/him,0.0875,positive
155,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,shonteezy1,"New Jersey, USA",0.25,positive
156,RT @SocialistMMA: Daily reminder that Joe Biden's staff deleted their previous #MeToo tweets,natesuh4,"Los Angeles, CA",-0.083333333,negative
157,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,AliciaM0325,United States,0.05,positive
158,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,loumusac,montreal,0.566666667,positive
160,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_xoDeedra,Minding my business,0.25,positive
161,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,mendyboyd,Tennessee,0.8,positive
162,"@kayleighmcenany @seanhannity It really hurts to lose, doesn't it? 69 more days and your boney ass is out of the people's house! Joe Biden's 306 is the biggest landslide in history!",caseygirl511,,0.490625,positive
163,RT @goldengateblond: wait I thought Trump was trying to win this thing https://t.co/9jWJnURrFZ,Observa73524977,"Powell, OH",0.8,positive
164,"The Sore Losers are marching to the beat of the wrong pied piper. So sad what Donald Trump has done to our country. Joe Biden will have to repair all his damage and reverse almost everything he has done. We can do it @TheDemocrats, @Transition46. https://t.co/qwTkzUnH71 https://t.co/6AVe9gCOMr",joseph_preville,"Detroit, Michigan Democrat",-0.4,negative
165,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",golferdavidny,,0.4,positive
168,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",JOANNMB20,"Old Bridge, NJ",1,positive
170,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,KngNate_,"Chapel Hill, NC",0.25,positive
171,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,iambombshel_,"Greensboro, NC",0.25,positive
172,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Jeremyscha3ff3r,,0.2,positive
174,"@HowieCarrShow Obama never had an economy. The Economy had Obama, and then recovered with Trump! Biden's socialist fantasies will wreck global economies which relied on America's buying power. Get ready... global depression with Fantasy Joe.",5_4_3_GO,,0.066666667,positive
175,RT @not_a_ten: Tomorrow is the 1 week anniversary of Rudy finding out about Joe Biden winning while giving a press conference at a landscap…,phyll_indablank,"Milwaukee, WI",0.5,positive
176,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,Cynthia77438217,,0.05,positive
177,"With this evening's updates, California has passed 17 million ballots counted, with a 77.52% turnout among registered voters. Donald Trump cracked 34% for the first time today (w/5.7M votes) while Joe Biden's % slipped below 64% with 10.7M votes. https://t.co/QWA6LRmNYi",rpyers,"West Hollywood, CA",0.25,positive
180,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Rairyuson,"Charlotte, NC",0.25,positive
184,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cicidp_,,0.25,positive
186,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,StarkerSusan,,0.566666667,positive
187,"@AugustCohen4 Calling upon all republicans to accept Trump’s defeat and facilitate a smooth transition 
So many challenges ahead for the new administration 
May God guide Joe Biden and Kamala Harris",DrKayumba,"Leamington, Ontario",0.345454545,positive
191,"RT @CNNPolitics: CNN PROJECTION: President-elect Joe Biden wins Arizona, widening his electoral vote lead over Donald Trump https://t.co/Cl…",SusanBeehler,Mandan ND,0.3,positive
193,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,dani_stockham,,0.25,positive
195,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,jhlindley,"rochester, new york",-0.15,negative
197,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,MaryHNJ,,0.8,positive
199,"RT @MSNBC: Dr. Celine Gounder, a member of President-elect Joe Biden's coronavirus task force: ""You're certainly going to see the CDC talen…",JeanninePayne15,"Bartlesville, OK",0.214285714,positive
201,"@karshaner @realDonaldTrump @PeteHegseth @seanhannity CONGRATULATIONS !!
ONCE AGAIN...

PRESIDENT ELECT*
JOE BIDEN** https://t.co/ek9oveGM5t",Ink8Judy,Los Angeles ,0.8,positive
202,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ThisIzOVO,#StaySafe 🙏💚🇳🇬,0.25,positive
203,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,djchampagnezavi,,0.25,positive
204,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",chentufio,,0.2,positive
208,"RT @EconomicTimes: In Pics | Can #Trump block #Biden's apparent victory?
https://t.co/kI3w0dlBwD",NarayananKtoi,,0.05,positive
209,RT @livemint: A Biden family in western India says it has become 'exhausted' by calls since their namesake staked his claim to the White Ho…,YogeshBang,Pune,-0.133333333,negative
212,@DanScavino @realDonaldTrump How can any judge who believes in truth and justice believe that Joe Biden received more votes than you. The facts do not bear it out. God hear our prayer,Amazonwoman10,"Michigan, USA",0.5,positive
214,RT @PamelaUnplugged: BLM co-founder says “black people won this election” and is demanding a meeting with Biden...”we want our agenda to be…,JudithVirta,"The Great White North, Canada",-0.166666667,negative
219,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,JamesStewartWa3,,0.05,positive
222,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",suzibelle190,"Virginia, USA",0.254166667,positive
223,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,IAmDellaP,probably somewhere smiling ,0.25,positive
224,RT @SocialistMMA: I am extremely heartbroken for the massive Latino population that backed Bernie Sanders because they knew elections has c…,bellablue1060,,-0.0625,negative
227,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Chris4VicA,nowhere and everywhere,0.25,positive
228,"RT @CNN: ""It's tempting to say that President Donald Trump's loss of Arizona is the revenge of the late US Sen. John McCain,"" writes Jon Ta…",st_h_n_,,-0.3,negative
229,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL https://t…",CharlieBoyWHU,Brooklyn NY - East London,0.5625,positive
230,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,spillthe__T,,0.25,positive
233,"@GeorgePapa19 Donald Trump overwhelmingly lost the military vote, so I guess you're referring to Joe Biden.",Lamont_G_Sible,,0.2,positive
234,"Trump will announce 2024 run when Biden is certified election winner
The UnitedStates Of America🇺🇸 Gonna Stop U✔️Your A HabitualLiar,U Want UsWalking Thru BackDoors U Not Gonna Win,No Power No 71Mill Lol President Elect Biden GotThe BluePrint🎚77Million🗳 https://t.co/Qg7NXW2Ivl",sexygranny53,,0.8,positive
235,tbh even if we had ranked choice voting i still wouldn’t have voted for biden. fuck joe biden.,sonicxhedgegod,"Tacoma, WA",-0.4,negative
236,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,xojennifeeerr,treat people with kindness ♡︎.,0.25,positive
238,RT @TheValuesVoter: Joe Biden now has more than 78 million votes for President.,EYESNHOUSEHaute,United States,0.5,positive
239,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",bushgrey,"Bad Homburg, Moscow, Omsk.",0.2,positive
240,"RT @maggieNYT: Trump made the move in reaction to his team dropping a suit they were certain to lose in Maricopa Cty, which closed the door…",jimjakobs,"Fresno, CA",0.057142857,positive
241,"@realDonaldTrump 306.  

Joe Biden.  

Massive Landslide.  

Historic voter turnout.  

Blowout of Popular Vote by 5+ Million.

Donald Fired—LOSER! https://t.co/bt2gmubSLU",RAGreen7,,0.25,positive
242,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mgach31,,0.25,positive
243,"RT @catturd2: If you think Joe Biden got 8 million more votes than Barack Obama, pull my finger and I’ll fart Bohemian Rhapsody in E minor.",pksullivan9,,0.225,positive
244,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,emooring37,,0.566666667,positive
245,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",Jorge31685472,"San Francisco, CA",0.4,positive
246,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",cpbostrom,"Minnesota, North America",0.068181818,positive
248,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kimjorens,ot7 + vmin,0.25,positive
249,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,leetha_rose,,0.25,positive
250,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,brynnybuechler,"California, USA",0.25,positive
251,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,queenxashleyy,,0.25,positive
252,@Acyn It's funny that you think Joe Biden will ever be president.  HAHAHAHAHAHAHAHAHAHAH,Trauncher,"Las Vegas, NV",0.25,positive
253,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Alexaa35,OC girl,0.25,positive
254,"RT @jacobinmag: Joe Biden touted unions on the campaign trail, but his first big fundraiser was cohosted by an attorney at a union-busting…",KellyRay77,Earth,0.125,positive
255,"I not understand why president trump worried about this country, the not appreciate everything president trump doe,let the country closed every business, any way Joe Biden he g5to close the life for Americans people, president trump is better to live the presidency now for solts",rafaelrcolon57,,0.178787879,positive
256,RT @ndtv: Biden Wins White House With 306 Electoral Votes To Trump's 232: Report https://t.co/q5tksfDtXH https://t.co/ta8RyBSqjm,Binoy_R,India,0.15,positive
257,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,DReyes_19,"Hoffman Estates, IL",0.25,positive
258,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,missdesazul,,0.25,positive
259,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,minkz1312,Cherokee Territory,0.25,positive
260,RT @DebraKirkpatr10: @NightlyPolitics Joe Biden won the election with the most votes in American history! Pass it on. https://t.co/oLGDq2AV…,BJeanMohr1,Ohio CD16,0.25,positive
261,"Not only did Democratic candidate Joe Biden win the presidential election, many states embraced legal and recreational cannabis, marking a change overall for legislation across the country. #CannabisNews #MarijuanaNews https://t.co/zDWU3zqNDj via @high_times_mag",KushClicks,"Las Vegas, NV, USA",0.3,positive
263,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lrigeigdew,,0.25,positive
264,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,anitadupree,,0.25,positive
265,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,tctess2,"North Dakota, USA",0.566666667,positive
266,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,emmaksawyer,okiehoma ,0.25,positive
269,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,RobSaintonge,,0.25,positive
270,"China finally congratulates Biden after Georgia results were announced

China has congratulated Joe Biden on winning the US presidential election.  #ChinafinallycongratulatesBiden #WangWenbin https://t.co/LV6e8eLAGg https://t.co/0Jk9JC90pp",flashinfong,Lagos,0.25,positive
271,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,aguj91,Los Angeles,0.25,positive
272,"RT @HayleyMasonTV: Georgia has ""turned blue"" as county election offices certified their votes this afternoon. Joe Biden wins Georgia, earni…",KShari622,,0.15,positive
274,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sasuke5115,,0.25,positive
275,"RT @politicususa: By Trump’s own definition, Joe Biden has beaten him in a landslide electoral college victory as Trump finishes with 232 e…",FallenHaloFirst,"New York, USA",0.6,positive
276,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,OfficalRCDP,"Riverside County, California",-0.015151515,negative
